timestamp,client_id,jobs_sent,avg_rtt,messages_per_vehicle
2025-06-04 08:09:09,Application_1,40,0.012,veh118:1; veh146:1; veh174:1; veh121:1; veh193:1; veh267:1; veh109:1; veh126:1; veh133:1; veh145:2; veh166:2; veh295:1; veh252:1; veh380:1; veh348:1; veh242:1; veh298:1; veh7:1; veh13:1; veh22:1; veh33:1; veh42:1; veh52:1; veh63:1; veh77:1; veh161:1; veh127:1; veh163:1; veh173:1; veh194:1; veh159:1; veh190:1; veh311:1; veh156:1; veh178:1; veh210:1; veh100:1; veh120:1
2025-06-04 08:09:09,Application_7,40,0.015,veh122:1; veh142:1; veh389:1; veh189:1; veh368:1; veh177:1; veh160:1; veh134:1; veh192:1; veh158:1; veh198:1; veh423:1; veh406:1; veh116:1; veh140:1; veh245:1; veh440:1; veh1:1; veh10:1; veh26:1; veh35:1; veh47:1; veh55:1; veh67:1; veh74:1; veh82:1; veh394:1; veh381:1; veh337:1; veh175:1; veh420:1; veh455:1; veh201:1; veh91:1; veh165:1; veh154:1; veh115:1; veh265:1; veh106:1; veh143:1
2025-06-04 08:09:09,Application_9,40,0.010,veh89:1; veh159:1; veh190:1; veh201:1; veh156:1; veh178:1; veh210:1; veh100:1; veh265:1; veh106:1; veh143:1; veh464:1; veh336:1; veh230:1; veh132:1; veh257:1; veh308:1; veh5:1; veh11:1; veh23:1; veh30:1; veh43:1; veh53:1; veh64:1; veh71:1; veh80:1; veh172:1; veh206:1; veh148:1; veh102:1; veh95:1; veh157:1; veh444:1; veh153:1; veh87:1; veh300:1; veh436:1; veh93:1; veh399:1; veh318:1
2025-06-04 08:09:09,Application_3,40,0.013,veh173:1; veh102:1; veh95:1; veh157:1; veh424:1; veh101:1; veh170:1; veh115:1; veh120:1; veh317:1; veh162:1; veh438:1; veh371:1; veh151:1; veh310:1; veh191:1; veh313:1; veh2:1; veh8:1; veh25:1; veh32:1; veh36:1; veh51:1; veh62:1; veh72:1; veh84:1; veh413:1; veh185:1; veh411:1; veh89:1; veh390:1; veh174:1; veh121:1; veh90:1; veh267:1; veh109:1; veh104:1; veh241:1; veh182:1; veh110:1
2025-06-04 08:09:09,Application_2,40,0.011,veh337:1; veh175:1; veh420:1; veh455:1; veh311:1; veh91:1; veh165:1; veh154:1; veh436:1; veh93:1; veh399:1; veh318:1; veh327:1; veh99:1; veh454:1; veh218:1; veh114:1; veh292:1; veh4:1; veh20:1; veh31:1; veh45:1; veh48:1; veh58:1; veh69:1; veh78:1; veh197:1; veh108:1; veh118:1; veh142:1; veh150:1; veh179:1; veh137:1; veh448:1; veh135:1; veh400:1; veh86:1; veh158:1; veh198:1; veh423:1
2025-06-04 08:09:09,Application_10,40,0.012,veh194:1; veh320:1; veh147:1; veh347:1; veh180:1; veh187:1; veh141:1; veh112:1; veh139:1; veh370:1; veh344:1; veh124:1; veh284:1; veh94:1; veh215:1; veh289:1; veh410:1; veh3:1; veh15:1; veh27:1; veh34:1; veh38:1; veh54:1; veh61:1; veh73:1; veh83:1; veh202:1; veh123:1; veh88:1; veh113:1; veh200:1; veh131:1; veh186:1; veh101:1; veh160:1; veh279:1; veh192:1; veh388:1; veh111:1; veh205:1
2025-06-04 08:09:58,Application_5,50,0.012,veh417:2; veh255:2; veh150:1; veh179:1; veh444:1; veh153:1; veh135:1; veh279:1; veh92:2; veh388:1; veh117:2; veh204:2; veh451:2; veh334:2; veh391:1; veh321:1; veh274:1; veh243:1; veh12:1; veh19:1; veh21:1; veh37:1; veh50:1; veh56:1; veh68:1; veh79:1; veh183:1; veh119:1; veh144:1; veh461:1; veh155:1; veh368:1; veh177:1; veh375:1; veh134:1; veh209:1; veh310:1; veh218:1; veh114:1; veh292:1; veh4:1; veh20:1; veh31:1
2025-06-04 08:09:58,Application_6,50,0.011,veh103:2; veh113:1; veh200:1; veh131:1; veh186:1; veh448:1; veh375:1; veh400:1; veh86:1; veh209:1; veh182:1; veh110:1; veh130:1; veh282:1; veh196:1; veh238:1; veh412:1; veh416:1; veh9:1; veh16:1; veh24:1; veh39:1; veh49:1; veh60:1; veh65:1; veh75:1; veh85:1; veh199:1; veh136:1; veh129:1; veh389:1; veh189:1; veh424:1; veh128:1; veh168:1; veh184:1; veh138:1; veh152:1; veh188:1; veh207:1; veh176:1; veh268:1; veh454:1; veh191:1; veh313:1; veh2:1; veh8:1; veh25:1; veh32:1
2025-06-04 08:09:58,Application_4,50,0.014,veh88:1; veh129:1; veh461:1; veh155:1; veh137:1; veh128:1; veh87:1; veh300:1; veh104:1; veh241:1; veh111:1; veh205:1; veh217:1; veh105:1; veh333:1; veh214:1; veh195:1; veh359:1; veh14:1; veh18:1; veh28:1; veh40:1; veh44:1; veh57:1; veh66:1; veh81:1; veh96:1; veh97:1; veh98:1; veh125:1; veh146:1; veh181:1; veh331:1; veh193:1; veh187:1; veh170:1; veh112:1; veh133:1; veh370:1; veh344:1; veh124:1; veh284:1; veh94:1; veh132:1; veh257:1; veh308:1; veh5:1; veh11:1; veh23:1; veh30:1
2025-06-04 08:09:58,Application_1,50,0.012,veh118:1; veh146:1; veh174:1; veh121:1; veh193:1; veh267:1; veh109:1; veh126:1; veh133:1; veh145:2; veh166:2; veh295:2; veh252:2; veh380:2; veh348:1; veh242:2; veh298:1; veh7:2; veh13:1; veh22:2; veh33:2; veh42:1; veh52:1; veh63:1; veh77:1; veh161:1; veh127:1; veh163:1; veh173:1; veh194:1; veh159:1; veh190:1; veh311:1; veh156:1; veh178:1; veh210:1; veh100:1; veh120:1; veh140:1; veh440:1; veh10:1
