timestamp,client_id,jobs_sent,avg_rtt,messages_per_vehicle
2025-06-08 16:33:36,Application_2,10,0.021,veh5:1; veh1:3; veh4:1; veh19:1; veh17:1; veh14:1; veh6:1; veh48:1
2025-06-08 16:33:36,Application_33,10,0.025,veh22:1; veh27:4; veh20:1; veh23:1; veh10:1; veh3:1; veh46:1
2025-06-08 16:33:36,Application_12,10,0.029,veh8:1; veh9:2; veh2:2; veh1:3; veh5:1; veh19:1
2025-06-08 16:33:36,Application_10,10,0.021,veh11:2; veh15:1; veh14:1; veh17:1; veh21:1; veh19:1; veh2:1; veh4:1; veh9:1
2025-06-08 16:33:36,Application_36,10,0.034,veh25:2; veh20:4; veh23:2; veh11:1; veh10:1
2025-06-08 16:33:36,Application_27,10,0.039,veh21:1; veh18:2; veh14:2; veh13:1; veh11:1; veh8:1; veh27:1; veh12:1
2025-06-08 16:33:36,Application_22,10,0.034,veh30:5; veh35:1; veh32:1; veh24:1; veh17:1; veh16:1
2025-06-08 16:33:36,Application_8,10,0.029,veh13:2; veh11:1; veh7:1; veh9:1; veh3:2; veh5:2; veh14:1
2025-06-08 16:33:36,Application_23,10,0.034,veh29:2; veh32:3; veh36:2; veh31:1; veh25:1; veh17:1
2025-06-08 16:33:36,Application_43,10,0.032,veh34:4; veh37:1; veh33:2; veh36:1; veh19:1; veh13:1
2025-06-08 16:33:36,Application_13,10,0.039,veh17:2; veh14:1; veh13:1; veh21:2; veh19:2; veh15:1; veh29:1
2025-06-08 16:33:36,Application_35,10,0.028,veh23:5; veh20:2; veh18:2; veh6:1
2025-06-08 16:33:36,Application_25,10,0.031,veh33:5; veh30:2; veh32:1; veh18:2
2025-06-08 16:33:36,Application_41,10,0.034,veh39:3; veh37:4; veh33:1; veh27:1; veh22:1
2025-06-08 16:33:36,Application_14,10,0.037,veh10:2; veh7:1; veh9:1; veh16:2; veh13:1; veh3:1; veh26:1; veh27:1
2025-06-08 16:33:36,Application_6,10,0.034,veh6:1; veh8:2; veh18:2; veh21:2; veh12:1; veh29:2
2025-06-08 16:33:36,Application_32,10,0.034,veh19:1; veh21:2; veh15:1; veh12:1; veh39:2; veh34:1; veh24:1; veh28:1
2025-06-08 16:33:36,Application_30,10,0.024,veh38:4; veh50:1; veh44:1; veh41:1; veh37:1; veh31:2
2025-06-08 16:33:36,Application_46,10,0.029,veh45:5; veh47:2; veh38:1; veh36:1; veh32:1
2025-06-08 16:33:36,Application_40,10,0.025,veh41:4; veh42:1; veh45:1; veh47:2; veh44:1; veh34:1
2025-06-08 16:33:36,Application_4,10,0.037,veh7:1; veh2:2; veh3:1; veh4:1; veh10:1; veh36:1; veh38:1; veh35:2
2025-06-08 16:33:36,Application_7,10,0.035,veh3:1; veh4:3; veh6:1; veh1:1; veh9:1; veh25:1; veh47:1; veh34:1
